Book Title,Author,Author VIAF Number,Translator,Translator VIAF Number,Publisher,University Press,University_Press_STND,Translator on Cover,Translator_on_Cover_STND,Trans_Pub_Date,Trans_Publication_Country,Language ,Original_Pub_Date,Original_Publication_Country,Author Gender,Author_Gender,Author_Residence,Author_Latitude,Author_Longitude,Translator Gender,Trans_Gender,Trans_Residence,Trans_Latitude,Trans_Longitude,Text_Type,Pages_in_Translation,Pages_in_Paratexts,Paratexts Type,Glossary or Notes,Glossary_or_Notes_STND,No._of_terms_in_Glossary_or_Notes,Examples_Words_in_Glossary_or_Notes,Religious Glossary Terms,Religious_Glossary_Terms_STND (Y/N=1/0),Food Glossary Terms,Food_Glossary_Terms_STND (Y/N=1/0),Clothing Glossary Terms,Clothing_Glossary_Terms_STND (Y/N=1/0),Culture or Customs in Glossary,Culture_or_Customs_in_Glossary_STND (Y/N=1/0),Historical_Figures_in_Glossary_STND (Y/N=1/0),Awards_in_Original,Awards_in_Trans
Divine Names,"Abdul-Ilah, Luay",4841505,"Cumberbatch, Judy",44581384,Mira Publishing,N,0,N,0,2017,UK,Arabic,2016,Iraq,M,1,Iraq,33.223191,43.679291,F,0,UK,55.378051,-3.435973,Novel,389,,Contents Page,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Collar and the Bracelet,"Abdullah, Yahya Taher",115743475,"Selim, Samah",44579998,AUC,Y,1,Y,1,2008,Egypt,Arabic,1975,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,143,,Translator's Afterword,N,0,-,-,-,0,-,0,-,0,-,0,0,-,2009 Saif Ghobash-Banipal Prize for Arabic Literary Translation
The Last Chapter,"Abouzeid, Leila",10078438,"Abouzeid, Leila & Liechety, John ","10078438, 76568822",AUC,Y,1,N,0,2000,Egypt,Arabic,2000,Morocco,F,0,Morocco,31.791702,-7.09262,"F, M",-,USA,37.09024,-95.712891,Novel,151,,"Image,   Quotation,   Contents Page,   Introduction,   Preface,   Introduction,   Map,   Interview with the Author,   Study Guide",Y (Notes),1,2,-,-,0,-,0,-,0,-,0,0,-,-
Return to Childhood,"Abouzeid, Leila",10078438,"Abouzeid, Leila & Logan Taylor, Heather ","280470653, 10078438",UT Austin,Y,1,N,0,1998,USA,Arabic,1993,Morocco,F,0,Morocco,31.791702,-7.09262,"F, F",0,"Morocco, USA",40.9461457,-87.4533626,Memoir,94,,"Dedication,   Contents Page,   Author's Preface,   Introduction,   Map,   Historical Info,   Glossary,   Footnotes",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Year of the Elephant,"Abouzeid, Leila",10078438,"Parmenter, Barbara ",114974393,UT Austin,Y,1,Y,1,1989,USA,Arabic,1980,Saudi Arabia,F,0,Morocco,31.791702,-7.09262,F,0,USA,37.09024,-95.712891,Novel,101,,Author's Afterword,Y (Notes),1,13 (notes); 20 (glossary),"Intro notes - explanations, references; Book notes - explanations of places, quranic referencese etc.; Glossary - adil, dhikr, harira, inshallah, mihrab, muezzin, sheikh","adil, dhikr, faqih, imam, inshallah, jihad, mihrab, muezzin, rakaa, sheikh",1,harira,1,djellabah,1,"caid, fidai, fidaiyyin, foundouk, kif, medina, mizmar, pasha",1,0,-,-
Year of the Elephant (revised ed.),"Abouzeid, Leila",10078438,"Parmenter, Barbara ",114974393,UT Austin,Y,1,Y,1,2009,USA,Arabic,1989,Morocco,F,0,Morocco,31.791702,-7.09262,F,0,USA,37.09024,-95.712891,Novel,117,,"Foreword,   Author's Preface",Y + Notes,1,21,"Intro notes - explanations, references; Book notes - explanations of places, quranic referencese etc.; Glossary - adil, dhikr, harira, inshallah, mihrab, muezzin, sheikh","adil, dhikr, faqih, imam, inshallah, jihad, mihrab, muezzin, rakaa, sheikh",1,harira,1,djellabah,1,"caid, fidai, fidaiyyin, foundouk, kif, medina, mizmar, pasha",1,0,-,-
Thieves in Retirement,"Abu Golayyel, Hamdi",32251512,"Booth, Marilyn",14901543,Syracuse University Press,Y,1,Y,1,2006,USA,Arabic,2002,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,126,,"Quotation,   Translator's Acknowledgements,   Translator's Introduction,   Footnotes",Y  (Notes) ,1,4,"Quran references, hadith, bilharzia","Quran references, hadith",1,-,0,-,0,-,0,0,-,-
A Dog With No Tail,"Abu Golayyel, Hamdi",32251512,"Moger, Robin",121559456,AUC,Y,1,Y,1,2009,Egypt,Arabic,2008,Lebanon,M,1,Egypt,26.820553,30.802498,M,1,South Africa,-30.559482,22.937506,Novel,150,,"Quotation,   Glossary",Y,1,12,"bahr yusuf, bey, koshari, urfi, djellaba, gallabiya, shisha",-,0,koshari,1,"djellaba, gallabiya",1,"bey, shisha, urfi",1,0,Naguib Mahfouz Medal (2008),-
The Cripple,"Abu Hamad, Nabil",32249385,"Suhail, Shehade",170751970,Cygnus,N,0,Y,1,2009,UK,Arabic,2002,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,UK,55.378051,-3.435973,Novel,139,,"Translator's Note,   Acknowledgements,   Glossary",Y,1,20,,"insha'allah, ",1,"kanafa, mjadara, fattoush, manaqeesh, arak, ",1,-,0,"effendi, hanatir",1,1,-,-
All the Battles,"Abu Taleb, Maan",36150999602429870854,"Moger, Robin ",121559456,Hoopoe,Y,1,Y,1,2017,Egypt,Arabic,2016,Egypt,M,1,London,51.5073509,-0.1277583,M,1,South Africa,-30.559482,22.937506,Novel,245,,"Author and Translator Bio,   Quotation,   Author's Acknowledgements",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Arch and the Butterfly,"Achaari, Mohammed",44463333,"Bamia, Aida",44525532,Bloomsbury Qatar,N,0,N,0,2014,USA,Arabic,2010,Morocco,M,1,Morocco,31.791702,-7.09262,F,0,USA,37.09024,-95.712891,Novel,321,,"Quotation,   Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Little Songs in the Shade of Tamaara ,"Afifi, Mohammed",59232613,"White, Lise J. ",-,University of Arkansas Press,Y,1,Y,1,2000,USA,Arabic,1984,Egypt,M,1,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Novel,133,,"Translator's Acknowledgements,   Contents Page,   Translator's Introduction,   Preface,   Footnotes,   Afterword",Y (Notes),1,20,"Arabic linguistics/sounds, ta'liya, sibha, cultural explanations, sheikha, eid, fuul",sibha,1,"ta'liya, fuul, mulukhiyya",1,-,0,"cultural explanations, eid",1,0,-,1999 Arkansas University Press Award
Sixteen Sudanese Short Stories,"Ahmed, Osman Hassan (editor), various authors",67832079,Misc.,-,"Office of the Cultural Counselor, Embassy of the Democratic Republic of the Sudan",N,0,N,0,1981,USA,"Arabic, English",-,-,M,1,Sudan,12.862807,30.217636,-,-,Misc.,40.6726957,-73.9574853,Short Stories,68,,"Editor's dedication,   Editor's Acknowledgements,   Contents Page,   Editor's Introduction,   Footnotes,   Author Bios,   Bibliography",Y (Notes),1,26,"azan, muezzin, allah, al-shihada, koranic verses, ya salaam, eid al-kebir, shilail, imam, khalwa, jalabia, sheikh, Sudanese cultural info","azan, muezzin, allah, al-shihada, eid al-kebir, eid al-adha, ya salaam, imam, khalwa, nhialic",1,-,0,jalabia,1,"shilail, talih",1,0,-,-
"Earth Weeps, Saturn Laughs","Al Farsi, Abdulaziz",80935186,"Roberts, Nancy",47001671,AUC,Y,1,N,0,2013,Egypt,Arabic,2007,Lebanon,M,1,Oman,21.4735329,55.975413,F,0,USA,37.09024,-95.712891,Novel,224,,"Quotation,   Glossary",Y,1,21,"Quran stories/references, dhikr","dhikr, fatiha, hayta lak, munkar and nakir, prayer of obedience, rak'a, sirat, sura, surat qaf",1,-,0,dishdasha,1,dalla,1,1,-,-
Taxi,"Al Khamissi, Khaled",34780382,"Wright, Jonathan",100760374,Aflame Books,N,0,N,0,2008,UK,Arabic,2007,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,204,,"Dedication,   Quotation,   Glossary",Y,1,27,"Egyptian public/historical figures (Nasser, Mubarak, Umm Kalsoum, etc), 1973 Arab-Israeli War",inshallah,1,koshari,1,hijab,1,"kefaya movement, khan el-khalili, mubarak, muslim brotherhood, Umm Kalsoum, pasha",1,1,-,-
Dubai Tales,"al Murr, Muhammad",19850794,"Clark, Peter",108191551,Forest Books,N,0,Y,1,1991,USA,Arabic,1982,"UAE, Lebanon",M,1,UAE,23.424076,53.847818,M,1,UK,55.378051,-3.435973,Short stories,150,,"Contents Page,   Bibliography,   Translator's Introduction,   Author Bio,   Translator Bio,   Geographical Note,   Glossary",Y,1,53,"Arab historical figures, imamm, jahiliya, muezzin, sayyid, falafil, faluda, harisa, humus, mazza, sambusa, shawarma, aba'a, bisht, burqu', dishdasha, ghutra, iqal, jallabiya, taqia, thawb, majlis, Nabati, riyal ruq'a, suq","imamm, jahiliya, muezzin, sayyid",1,"falafil, faluda, harisa, humus, mazza, sambusa, shawarma",1,"aba'a, bisht, burqu', dishdasha, ghutra, iqal, jallabiya, taqia, thawb",1,"majlis, Nabati, riyal ruq'a, suq",1,1,-,-
The Proof of the Honey,"Al Neimi, Salwa",34678642,"Perkins, Carol",96852986,Europa Editions,N,0,N,0,2009,USA,Arabic,2008,France,F,0,France,46.227638,2.213749,F,0,USA,37.09024,-95.712891,Novel,126,,"Contents Page,   Author Bio,   Author and Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Baghdad Clock,"Al Rawi, Shahad",126149415049089551132,"Leafgren, Luke",216153061373319202470,Oneworld,N,0,N,0,2018,USA,Arabic,2016,UAE,F,0,UAE,23.424076,53.847818,M,1,USA,37.09024,-95.712891,Novel,252,,"Dedication,   Acknowledgements,    disclaimer,   Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,Shortlisted for International Prize for Arabic Fiction 2018,-
"East Winds, West Winds","Al Saqr, Mahdi Issa",19553811,"Starkey, Paul",116022327,AUC,Y,1,Y,1,2010,Egypt,Arabic,1998,Lebanon,M,1,Iraq,33.223191,43.679291,M,1,UK,55.378051,-3.435973,Novel,459,,None,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Open Door,"Al Zayyat, Latifa",100296991,"Booth, Marilyn",14901543,AUC,Y,1,N,0,2000,Egypt,Arabic,1960,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,361,,"Dedication,   Translator's Acknowledgements,   Translator's Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,Naguib Mahfouz Medal,-
The Owner of the House,"Al Zayyat, Latifa (Latifa Zayyat in this book)",100296991,"Bennett, Sophie ",92938084,Quartet,N,0,N,0,1997,UK,Arabic,1994,UK,F,0,Egypt,26.820553,30.802498,F,0,"UK, Egypt",30.0394077,31.2314328,Novel,134,,"Author and Translator Bio,   Author's Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,Naguib Mahfouz Medal for Literature (1996),-
A Land without Jasmine,"al-Ahdal, Wajdi",36582509,"Hutchins, William",12461356,Garnet,N,0,N,0,2012,UK,Arabic,2008,Yemen,M,1,Yemen,15.552727,48.516388,M,1,USA,37.09024,-95.712891,Novel,82,,"Contents Page,   Author Bio,   Translator's Note,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,2013 Saif Ghobash Banipal Prize
The Maze of the Last One: A novel about the last Jewish family in Iraq,"al-Ahmed, Mohammed",-,"Marrs, Christopher",316550630,Dar Safi,N,0,Y,1,2014,USA,Arabic,2013,Iraq,M,1,Iraq,33.223191,43.679291,M,1,USA,37.09024,-95.712891,Novel,240,,"Introduction,   Footnotes,   Author Bio",Y (Notes),1,37,"al-Mutanabbi, Old Testament references, Koranic references, siddur, purim, Kaddish, amba, abaya, dishdasha, yarmulke, igal, ghutra, sidara, tallit, Iraqi Jew history, shohar, Les Miserables","Old Testament references, Koranic references, siddur, purim, Kaddish",1,amba,1,"abaya, dishdasha, yarmulke, igal, ghutra, sidara, tallit",1,"Iraqi Jew history, shohar, Les Miserables",1,1,-,-
Judgement Day,"Al-Ameer, Rasha",267195973,"Wright, Jonathan ",100760374,AUC,Y,1,Y,1,2011,Egypt,Arabic,2002,Lebanon,F,0,Lebanon,33.854721,35.862285,M,1,UK,55.378051,-3.435973,Novel,246,,"Author's Note,   Quotations,   Author's Introduction,   Translator's Afterword",Y (Notes),1,unnumbered,Qur'anic references,-,0,-,0,-,0,-,0,0,-,-
Chicago,"Al-Aswany, Alaa",69184887,"Abdel Wahab, Farouk ",97603587,HarperCollins,N,0,N,0,2007,USA,Arabic,2007,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,342,,"Contents Page,   Author Bio,   Dedication,   Preface,   Footnotes",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Yacoubian Building,"Al-Aswany, Alaa",69184887,"Davies, Humphrey ",228562256,AUC,Y,1,N,0,2004,USA,Arabic,2002,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,242,,"Dedication,   Translator's Acknowledgements",Y,1,71,"Abu el Aala el Mawdudi, Abu Bakr, Anwar Wagdi, basbusa, Egypt party, Gamaa, El Hussein, Nahhas Basha, Saad, Sidi Bishr, Tahrir Square, Throne Verse, Turah el Asmant, Zaki Naguib Mahmoud","fatiha, gihad, hadith, hagg",1,"basbusa, mulukhiya",1,"gallabiya, modest dress, people's suit",1,"Cairo geography, Egyptian/Palestinian political parties",1,1,Longlisted for The International IMPAC Dublin Literary Award (2006),-
Friendly Fire,"Al-Aswany, Alaa",69184887,"Davies, Humphrey ",228562256,HarperCollins,N,0,N,0,2009,USA,Arabic,2004,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,219,,"Dedication,   Acknowledgements,   Translator's Note,   Quotations",Y (Notes),1,unnumbered,"Mustafa Kamil, Zaqaziq, Sabri Ragheb, Hussein Bikar, sika",as-salamu alaykum,1,-,0,-,0,"sika, Tirsana, al-Ahram",1,1,-,-
The Automobile Club of Egypt,"Al-Aswany, Alaa",69184887,"Harris, Russell ",11560605,Alfred A. Knopf,N,0,N,0,2015,USA,Arabic,2013,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,475,,"Image,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,Longlisted for The International Dublin Literary Award (2017),-
 ,"Al-Atiq, Fahd",279041771,"Wright, Jonathan ",100760374,AUC,Y,1,Y,1,2012,Egypt,Arabic,2004,Lebanon,M,1,Saudi Arabia,23.885942,45.079162,M,1,UK,55.378051,-3.435973,Novel,113,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
A Woman of Five Seasons,"Al-Atrash, Leila",66743159,"Nweihid Halwani, Nora & Tingley, Christopher ","76592341, 61676886",Interlink,N,0,Y,1,2002,USA,Arabic,1990,Lebanon,F,0,"Palestine, Jordan",31.974227,35.9072911,"F, M",-,"Lebanon, UK",33.8955563,35.4998627,Novel,168,,Notes,Y (Notes),1,15,"Ustadh, Fedewi, Nargila, Zahrat al-Mada'in, Muawiya",Shaykh,1,-,0,Dashdasha,1,"Ustaadh, Rakwa, Fedewi, Nargila, Um, Abu",1,1,-,-
The Last of the Angels,"Al-Azzawi, Fadhil",97064150,"Hutchins, William M. ",12461356,AUC,Y,1,Y,1,2007,Egypt,Arabic,1992,Lebanon,M,1,"Iraq, Germany",33.2992035,44.3323774,M,1,USA,37.09024,-95.712891,Novel,273,0,-,Y,1,48,"Bible & Qoran verses, historical figures (Abdallah Goran, Francis Chesney, Yunus Bahri, etc), dabke, dervish, Yazidis, Kakaiyeen","afreet, buraq, dervish, hajj, jinni, mujtahid, qadi, al-nas",1,Namlet,1,jamdaniyat headcloth,1,"bahlul, dabke, nay",1,1,-,-
Cell Block Five,"Al-Azzawi, Fadhil",97064150,"Hutchins, William M. ",12461356,AUC,Y,1,Y,1,2008,Egypt,Arabic,1972,Lebanon,M,1,Iraq,33.223191,43.679291,M,1,USA,37.09024,-95.712891,Novel,108,,Author's Preface,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Traveler and the Innkeeper,"Al-Azzawi, Fadhil",97064150,"Hutchins, William M. ",12461356,AUC,Y,1,Y,1,2011,Egypt,Arabic,1989,Iraq,M,1,"Iraq, Germany",33.2992035,44.3323774,M,1,USA,37.09024,-95.712891,Novel,117,,"Author's Note,   Translator's Acknowledgements,   Glossary",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Life Is More Beautiful Than Paradise: A Jihadist's Own Story,"al-Berry, Khaled",69144089,"Davies, Humphrey",228562256,AUC,Y,1,Y,1,2016,Egypt,Arabic,2001,Egypt,M,1,UK,55.378051,-3.435973,M,1,UK,55.378051,-3.435973,Memoir,184,,"Contents Page,   Author's Preface,   Glossary",Y,1,44,"Arab historical figures, hadith, hadith qudsi, hakimiya, ignorance, jihad, jihadist, seven deadly sins, shari'a, historical events, jama'a islamiya, Muslim brotherhood, rabso, Shakespeare quote","hadith, hadith qudsi, hakimiya, ignorance, jihad, jihadist, seven deadly sins, shari'a",1,-,0,-,0,"historical events, jama'a islamiya, Muslim brotherhood, rabso, Shakespeare quote",1,1,-,-
This Side of Innocence,"Al-Daif, Rashid",99231703,"Haydar, Paula",7665444,Interlink,N,0,Y,1,2001,Canada,Arabic,1997,Lebanon,M,1,Lebanon,33.854721,35.862285,F,0,USA,37.09024,-95.712891,Novel,146,,Afterword,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Learning English,"al-Daif, Rashid",99231703,"Haydar, Paula & Haydar, Adnan","7665444, 69043114",Interlink,N,0,Y,1,2007,USA,Arabic,1998,Lebanon,M,1,Lebanon,33.854721,35.862285,"F, M",-,USA,37.09024,-95.712891,Novel,161,,Translator's Introduction,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Who's Afraid of Meryl Streep?,"Al-Daif, Rashid",99231703,"Haydar, Paula & Sinno, Nadine ","7665444, 29019575",UT Austin,Y,1,Y,1,2014,USA,Arabic,2001,Lebanon,M,1,Lebanon,33.854721,35.862285,"F, F",0,"USA, USA",37.09024,-95.712891,Novel,112,,None,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Dear Mr. Kawabata,"Al-Daif, Rashid",99231703,"Starkey, Paul",116022327,Quartet,N,0,N,0,1999,UK,Arabic,1995,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,UK,55.378051,-3.435973,Novel,166,,"Translator's Dedication,   Map,   Introduction",Y (Notes),1,3,"fatiha, za'tar, Arabic letters",fatiha,1,za'tar,0,-,0,-,0,0,-,-
Passage to Dusk,"Al-Daif, Rashid",99231703,"Tanoukhi, Nirvana ",78437081,UT Austin,Y,1,Y,1,2001,USA,Arabic,1986,Lebanon,M,1,Lebanon,33.854721,35.862285,F,0,USA,37.09024,-95.712891,Novel,90,,"Dedication,   Foreword",Y (Notes),1,-,-,-,0,-,0,-,0,-,0,0,-,-
What Makes a Man? Sex Talk in Beirut and Berlin,"Al-Daif, Rashid and Helfer, Joachim","99231703, 29751618","Seigneurie, Ken & Schmidt, Gary","24845625, 8279604",UT Austin,N,1,Y,1,2015,USA,"Arabic, German, English",2006,"Lebanon, Germany",M,1,"Lebanon, Germany, USA",,,M,1,USA,37.09024,-95.712891,Novel,250,,"Contents Page,   Publisher's Note,   Translator's Note,   Footnotes,   Author Bios",Y (Notes),1,60,mostly citations and notes on academic essays at end of book,-,0,-,0,-,0,-,0,0,-,-
Zayni Barakt,"al-Ghitani, Gamal ",61555872,"Abdel Wahab Mustafa, Farouk ",159149106284068492322,Penguin,N,0,Y,1,1990,UK,Arabic,1971,Syria,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,241,,"Glossary,   Quotations,   Translator's Acknowledgements",Y,1,26,"al-bukhari, hadith, imam, shaykh, ulema, basbusa, bilila, mughat, mulukhiyya, galabiyya, fatwa, mashrabiyya, rababa, tablakhanah","al-bukhari, hadith, imam, shaykh, ulema",1,"basbusa, bilila, mughat, mulukhiyya",1,galabiyya,1,"fatwa, mashrabiyya, rababa, tablakhanah",1,0,-,-
Zayni Barakat,"al-Ghitani, Gamal ",61555872,"Abdel Wahab Mustafa, Farouk ",159149106284068492322,AUC,Y,1,Y,1,2004,Egypt,Arabic,1974,Syria,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,241,,"Contents Page,   Foreword,   Translator's Note,   Translator's Acknowledgements,   Quotation",Y (Notes),1,26,"ardeb, balaliq, julban, mulukhiyya, qaranisah, tablakhanah, ulema","al-bukhari, hadith, imam, shaykh, ulema",1,"balaliq, basbusa, bilila, mughat, mulukhiyya,",1,galabiyya,1,"ardeb, bashmaqdar, bassass, fedawi, julban, mashrabiyya, muhtasib, rababa, riwaq, rumi, saqanqur, tablakhanah",1,0,-,-
The Zafarani Files,"al-Ghitani, Gamal ",61555872,"Abdel Wahab Mustafa, Farouk ",159149106284068492322,AUC,Y,1,Y,1,2009,Egypt,Arabic,1976,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,331,,"Author Bio,   Translator Bio,   Contents Page,   Foreword,   Translator's Note,   Acknowledgements,   Glossary",Y,1,7,"athar, basbusa, bastirma, 'ifreet, mesaharati","athar, 'ifreet",1,"basbusa, bastirma, kushari",1,-,0,"mesaharati, qanun",1,0,-,-
